"filename";"caption";"date1";"date2";"date";"date3";"agent";"role";"agent2";"role2";"copyright";"source";"empty_column";"notes";"mon_id";"class_code";"classification";"agent3";"date_scan";"license";"url";"rights_text";"heidata";"heidoc"
"ACH0070_P_20220421_01";"{'en': {'direction': 'ltr', 'value': '\n\n'}}, {'en': {'direction': 'ltr', 'value': 'Vināyaka Pañcadevala Śikhara Temple 1, view from N";"";"";"";"";"";"draftsman";"";"";"Nepal Heritage Documentation Project";"";"";"";"ACH0070";"4068827-6";"Architekturzeichnung";"";"";"CC BY-SA 4.0";"https://uni-heidelberg.de/nhdp";"Nepal Heritage Documentation Project";"";""
"ACH0070_P_20220421_04-2";"{'en': {'direction': 'ltr', 'value': 'Vināyaka Pañcadevala Śikhara Temple 1, view from N";"";"";"";"";"1248176";"photographer";"";"";"Nepal Heritage Documentation Project";"";"";"";"ACH0070";"4002855-0";"Architekturfotografie";"";"";"CC BY-SA 4.0";"https://uni-heidelberg.de/nhdp";"Nepal Heritage Documentation Project";"";""
"ACH0072_P_20220421_09";"{'en': {'direction': 'ltr', 'value': 'Vināyaka Pañcadevala Śikhara Temple 3, sanctum, view from NE";"";"";"";"";"1248176";"photographer";"";"";"Nepal Heritage Documentation Project";"";"";"";"ACH0072";"4002855-0";"Architekturfotografie";"";"";"CC BY-SA 4.0";"https://uni-heidelberg.de/nhdp";"Nepal Heritage Documentation Project";"";""
"ACH0072_P_20220421_04";"{'en': {'direction': 'ltr', 'value': 'Vināyaka Pañcadevala Śikhara Temple 3, view from E";"";"";"";"";"1248176";"photographer";"";"";"Nepal Heritage Documentation Project";"";"";"";"ACH0072";"4002855-0";"Architekturfotografie";"";"";"CC BY-SA 4.0";"https://uni-heidelberg.de/nhdp";"Nepal Heritage Documentation Project";"";""
"ACH0072_H_1968_02";"{'en': {'direction': 'ltr', 'value': 'Vināyaka Pañcadevala Śikhara Temple 3, view from NW";"";"";"";"";"1264428";"photographer";"";"";"";"";"";"";"ACH0072";"4002855-0";"Architekturfotografie";"";"";"Free access - no reuse";"";"";"";""
"ACH0072_P_20220421_07";"{'en': {'direction': 'ltr', 'value': 'Vināyaka Pañcadevala Śikhara Temple 3, view from SW";"";"";"";"";"1248176";"photographer";"";"";"Nepal Heritage Documentation Project";"";"";"";"ACH0072";"4002855-0";"Architekturfotografie";"";"";"CC BY-SA 4.0";"https://uni-heidelberg.de/nhdp";"Nepal Heritage Documentation Project";"";""
"ACH0072_P_20220421_10";"{'en': {'direction': 'ltr', 'value': 'Vināyaka Pañcadevala Śikhara Temple 3, ceiling, view from NE";"";"";"";"";"1248176";"photographer";"";"";"Nepal Heritage Documentation Project";"";"";"";"ACH0072";"4002855-0";"Architekturfotografie";"";"";"CC BY-SA 4.0";"https://uni-heidelberg.de/nhdp";"Nepal Heritage Documentation Project";"";""
"ACH0072_P_20220421_08";"{'en': {'direction': 'ltr', 'value': 'Vināyaka Pañcadevala Śikhara Temple 3, view from W";"";"";"";"";"1248176";"photographer";"";"";"Nepal Heritage Documentation Project";"";"";"";"ACH0072";"4002855-0";"Architekturfotografie";"";"";"CC BY-SA 4.0";"https://uni-heidelberg.de/nhdp";"Nepal Heritage Documentation Project";"";""
"ACH0072_D_2022_location_map";"{'en': {'direction': 'ltr', 'value': 'Vināyaka Pañcadevala Śikhara Temple 3, location map";"";"";"";"";"";"draftsman";"";"";"Nepal Heritage Documentation Project";"";"";"";"ACH0072";"4029783-4";"Karte";"";"";"CC BY-SA 4.0";"https://uni-heidelberg.de/nhdp";"Nepal Heritage Documentation Project";"";""
"ACH0072_P_20220421_05";"{'en': {'direction': 'ltr', 'value': 'Vināyaka Pañcadevala Śikhara Temple 3, view from NE";"";"";"";"";"1248176";"photographer";"";"";"Nepal Heritage Documentation Project";"";"";"";"ACH0072";"4002855-0";"Architekturfotografie";"";"";"CC BY-SA 4.0";"https://uni-heidelberg.de/nhdp";"Nepal Heritage Documentation Project";"";""
